Player, Salary
Thanasis Antetokounmpo,$2019706
Giannis Antetokounmpo,$45640084
T.J. Warren,$452693
Karl-Anthony Towns,$36016200
Naz Reid,$12950400
Wendell Moore Jr.,$2421720
Josh Minott,$1719864
Leonard Miller,$1800000
Jordan McLaughlin,$2320000
Jaden McDaniels,$3901399
Rudy Gobert,$41000000
Luka Garza,$127683
Anthony Edwards,$13534817
Mike Conley,$24360000
Kyle Anderson,$9219512
Nickeil Alexander-Walker,$4687500
Cody Zeller,$2019706
Zion Williamson,$34005250
Jonas Valančiūnas,$15435000
Matt Ryan,$1500000
Jeremiah Robinson-Earl,$684843
Larry Nance Jr.,$10375000
Trey Murphy III,$3359280
CJ McCollum,$35802469
Naji Marshall,$1930681
E.J. Liddell,$1801769
Herbert Jones,$12015150
Brandon Ingram,$33833400
Jordan Hawkins,$4310160
Dyson Daniels,$5784120
Jose Alvarado,$1836096
Jericho Sims,$1927896
Mitchell Robinson,$15681818
Julius Randle,$28226880
Miles McBride,$1836096
DaQuan Jeffries,$1324828
Isaiah Hartenstein,$9245121
Josh Hart,$12960000
Donte DiVincenzo,$10900000
Jalen Brunson,$26346666
Ryan Arcidiacono,$2019706
Kenrich Williams,$6175000
Jaylin Williams,$2000000
Jalen Williams,$4558680
Aaron Wiggins,$1836096
Lindy Waters III,$766095
Cason Wallace,$5291400
Isaiah Joe,$1997238
Chet Holmgren,$10386000
Shai Gilgeous-Alexander,$33386850
Josh Giddey,$6587040
Luguentz Dort,$15277778
Ousmane Dieng,$4798440
Moritz Wagner,$8000000
Franz Wagner,$5508720
Jalen Suggs,$7252080
Chuma Okeke,$5266713
Jonathan Isaac,$17400000
Joe Ingles,$11000000
Jett Howard,$5026800
Caleb Houstan,$2000000
Gary Harris,$13000000
Markelle Fultz,$17000000
Wendell Carter Jr.,$13050000
Anthony Black,$7245480
Goga Bitadze,$2066585
Paolo Banchero,$11608080
Cole Anthony,$5539771
Paul Reed,$7723000
Kelly Oubre Jr.,$2019706
De'Anthony Melton,$8000000
Tyrese Maxey,$4343920
Furkan Korkmaz,$5370370
Danuel House Jr.,$4310250
Tobias Harris,$39270150
Danny Green,$200000
Joel Embiid,$47607350
Jeff Dowtin,$2196970
Ricky Council IV,$864353
Mo Bamba,$2019706
Isaiah Thomas,$301795
Josh Okogie,$2815937
Jusuf Nurkić,$16875000
Nassir Little,$6250000
Eric Gordon,$3196448
Drew Eubanks,$2346614
Kevin Durant,$47649433
Devin Booker,$36016200
Bol Bol,$2019706
Bradley Beal,$46741590
Grayson Allen,$8925000
Robert Williams,$11571429
Jabari Walker,$1719864
Matisse Thybulle,$10500000
Anfernee Simons,$24107143
Shaedon Sharpe,$6313800
Rayan Rupert,$1119563
Duop Reath,$1951220
Kris Murray,$2847480
Taze Moore,$64343
Scoot Henderson,$9770880
Ashton Hagans,$103550
Jerami Grant,$27586207
Toumani Camara,$1119563
Moses Brown,$2019706
Malcolm Brogdon,$22500000
Deandre Ayton,$32459438
Sasha Vezenkov,$6341464
Juan Toscano-Anderson,$439581
Domantas Sabonis,$30600000
Keegan Murray,$8409000
Malik Monk,$9945830
Davion Mitchell,$5063640
JaVale McGee,$4368030
Trey Lyles,$8000000
Alex Len,$2019706
